Date,Time,Host,Final,Competitor 1 ,Flask,T0 Dilution Blue,T0 Blue,T0 Blue PFU/ml,T0 Clear Diltuion,T0 Clear,T0 Clear PFU/ml,T Final Dilution Blue,Tf Blue ,Tf PFU/ml Blue,Tf Dilution Clear,Tf Clear,Tf PFU/ml Clear,Mb (per h),Mc (per h),Wapprox,Mbar,W=Mb/Mc,W=Mc/Mb,r (b-c),r (c-b)
Jul_7_2012,4hr,ECC4,,B2-13.1,5,0.01,86,8600,0.01,99,9900,0.01,62,6200,0.01,4,400,-0.08,-0.80221,3.79578,-0.2577,0.1,9.81,0.7204,-0.7204
Jul_7_2012,4hr,ECC4,,B2-13.1,6,0.01,91,9100,0.01,115,11500,0.01,85,8500,0.01,104,10400,-0.02,-0.02514,1.3754,-0.0215,0.68,1.47,0.0081,-0.0081
Jul_7_2012,4hr,ECC4,,B2-13.1,7,0.01,71,7100,0.01,100,10000,0.01,46,4600,0.01,15,1500,-0.11,-0.47428,2.41938,-0.2577,0.23,4.37,0.3658,-0.3658
Jul_7_2012,4hr,ECC4,,B2-13.1,8,0.01,101,10100,0.01,95,9500,0.01,95,9500,0.01,92,9200,-0.02,-0.00802,0.37975,-0.0118,1.91,0.52,-0.0073,0.0073
Jul_7_2012,4hr,606,,cI26,1,0.01,87,8700,0.01,72,7200,0.001,23,23000,0.001,56,56000,0.24,0.51282,1.67312,0.4008,0.47,2.11,-0.2698,0.2698
Jul_7_2012,4hr,606,,cI26,2,0.01,72,7200,0.01,104,10400,0.001,107,107000,0.001,150,150000,0.67,0.66721,0.98884,0.6703,1.01,0.99,0.0075,-0.0075
Jul_7_2012,4hr,606,,cI26,3,0.01,95,9500,0.01,84,8400,0.001,58,58000,0.001,126,126000,0.45,0.67701,1.38577,0.5825,0.67,1.5,-0.2247,0.2247
Jul_7_2012,4hr,606,,cI26,4,0.01,84,8400,0.01,78,7800,0.001,118,118000,0.001,221,221000,0.66,0.83601,1.23071,0.7602,0.79,1.27,-0.1754,0.1754
Jul_7_2012,4hr,606,,cI26,5,0.01,69,6900,0.01,95,9500,0.001,50,50000,0.001,63,63000,0.5,0.47296,0.95407,0.4825,1.05,0.96,0.0222,-0.0222
Jul_7_2012,4hr,606,,cI26,6,0.01,86,8600,0.01,100,10000,0.001,149,149000,0.001,198,198000,0.71,0.74642,1.04562,0.7315,0.96,1.05,-0.0334,0.0334
Jul_7_2012,4hr,606,,cI26,7,0.01,77,7700,0.01,95,9500,0.001,93,93000,0.001,219,219000,0.62,0.78444,1.22304,0.7245,0.79,1.26,-0.1616,0.1616
Jul_7_2012,4hr,606,,cI26,8,0.01,64,6400,0.01,80,8000,0.0001,3,30000,0.0001,7,70000,0.39,0.54226,1.32207,0.4845,0.71,1.4,-0.156,0.156
Jul_7_2012,4hr,ECC4,,cI26,1,0.01,70,7000,0.01,78,7800,0.01,74,7400,0.01,59,5900,0.01,-0.06979,4.13243,-0.0267,-0.2,-5.02,0.0837,-0.0837
Jul_7_2012,4hr,ECC4,,cI26,2,0.01,73,7300,0.01,108,10800,0.01,53,5300,0.01,50,5000,-0.08,-0.19253,1.7981,-0.1409,0.42,2.41,0.1125,-0.1125
Jul_7_2012,4hr,ECC4,,cI26,3,0.01,82,8200,0.01,92,9200,0.01,59,5900,0.01,76,7600,-0.08,-0.04776,0.45572,-0.0634,1.72,0.58,-0.0345,0.0345
Jul_7_2012,4hr,ECC4,,cI26,4,0.01,68,6800,0.01,86,8600,0.01,42,4200,0.01,45,4500,-0.12,-0.16192,1.29043,-0.1428,0.74,1.34,0.0415,-0.0415
Jul_7_2012,4hr,ECC4,,cI26,5,0.01,84,8400,0.01,90,9000,0.01,36,3600,0.01,34,3400,-0.21,-0.24336,1.13854,-0.2276,0.87,1.15,0.0315,-0.0315
Jul_7_2012,4hr,ECC4,,cI26,6,0.01,73,7300,0.01,87,8700,0.01,10,1000,0.01,8,800,-0.5,-0.59662,1.18244,-0.5462,0.83,1.2,0.0996,-0.0996
Jul_7_2012,4hr,ECC4,,cI26,7,0.01,65,6500,0.01,87,8700,0.01,26,2600,0.01,30,3000,-0.23,-0.26618,1.14864,-0.2496,0.86,1.16,0.0371,-0.0371
Jul_7_2012,4hr,ECC4,,cI26,8,0.01,82,8200,0.01,93,9300,0.01,56,5600,0.01,79,7900,-0.1,-0.04079,0.15913,-0.0649,2.34,0.43,-0.0546,0.0546
Jul_12_2012,4hr,606,,G9-11.3,1,0.01,149,14900,0.01,165,16500,0.0001,17,170000,0.00001,80,8000000,0.61,1.54596,1.67418,1.3904,0.39,2.54,-0.9373,0.9373
Jul_12_2012,4hr,606,,G9-11.3,2,0.01,163,16300,0.01,168,16800,0.0001,9,90000,0.00001,69,6900000,0.43,1.50447,1.80506,1.3382,0.28,3.52,-1.0773,1.0773
Jul_12_2012,4hr,606,,G9-11.3,3,0.01,157,15700,0.01,154,15400,0.0001,13,130000,0.00001,177,17700000,0.53,1.76174,1.77669,1.5879,0.3,3.33,-1.2333,1.2333
Jul_12_2012,4hr,606,,G9-11.3,4,0.01,126,12600,0.01,151,15100,0.0001,7,70000,0.00001,28,2800000,0.43,1.30567,1.75591,1.1602,0.33,3.05,-0.877,0.877
Jul_12_2012,4hr,606,,G9-11.3,5,0.01,149,14900,0.01,173,17300,0.0001,20,200000,0.00001,102,10200000,0.65,1.59486,1.65468,1.4444,0.41,2.46,-0.9456,0.9456
Jul_12_2012,4hr,606,,G9-11.3,6,0.01,138,13800,0.01,139,13900,0.0001,19,190000,0.00001,81,8100000,0.66,1.59193,1.65693,1.4253,0.41,2.43,-0.9363,0.9363
Jul_12_2012,4hr,606,,G9-11.3,7,0.01,131,13100,0.01,173,17300,0.0001,14,140000,0.00001,95,9500000,0.59,1.57709,1.684,1.4398,0.38,2.66,-0.9848,0.9848
Jul_12_2012,4hr,606,,G9-11.3,8,0.01,116,11600,0.01,126,12600,0.0001,7,70000,0.00001,53,5300000,0.45,1.51044,1.78565,1.3506,0.3,3.36,-1.0611,1.0611
Jul_12_2012,4hr,ECC4,,G9-11.3,1,0.01,111,11100,0.01,149,14900,0.01,44,4400,0.0001,57,570000,-0.23,0.91107,2.47634,0.7738,-0.25,-3.94,-1.1424,1.1424
