date,rep,treatment,genotype,stat_label,dil_t0,count_t0,titer_t0,dil_t2,count_t2,titer_t2,rate,rate_per_h,rate_corrected,rate_corrected_neg,rate_corrected_neg_cell
Sept212015,1,evo,G9,G9,-3,223,1.98E+05,-3,75,7.50E+04,-0.97,-0.87,-0.6103,0.6103,7.08883E-09
Sept212015,2,evo,G9,G9,-3,192,1.71E+05,-3,108,1.08E+05,-0.46,-0.41,0.2594,-0.2594,-3.01246E-09
Sept212015,1,evo,1A,xanc_a,-3,223,1.98E+05,-3,149,1.49E+05,-0.29,-0.26,0.1810,-0.1810,-2.10209E-09
Sept212015,2,evo,1A,xanc_a,-3,225,2.00E+05,-3,146,1.46E+05,-0.31,-0.28,0.1356,-0.1356,-1.57527E-09
Sept212015,3,evo,1A,xanc_b,-3,239,2.12E+05,-3,114,1.14E+05,-0.62,-0.56,-0.4631,0.4631,5.37856E-09
Sept212015,4,evo,1A,xanc_b,-3,208,1.85E+05,-3,133,1.33E+05,-0.33,-0.29,-0.2017,0.2017,2.3426E-09
Sept212015,5,evo,1A,xanc_c,-3,262,2.33E+05,-3,126,1.26E+05,-0.61,-0.55,-0.2586,0.2586,3.00352E-09
Sept212015,6,evo,1A,xanc_c,-3,262,2.33E+05,-3,121,1.21E+05,-0.65,-0.59,-0.1888,0.1888,2.19261E-09
Sept212015,7,evo,1A,xanc_d,-3,253,2.25E+05,-3,114,1.14E+05,-0.68,-0.61,-0.3319,0.3319,3.85442E-09
Sept212015,8,evo,1A,xanc_d,-3,256,2.28E+05,-3,127,1.27E+05,-0.58,-0.52,-0.2145,0.2145,2.49114E-09
Sept212015,9,evo,1A,xanc_e,-3,223,1.98E+05,-3,151,1.51E+05,-0.27,-0.24,0.2716,-0.2716,-3.15414E-09
Sept212015,10,evo,1A,xanc_e,-3,272,2.42E+05,-3,138,1.38E+05,-0.56,-0.50,-0.1594,0.1594,1.85131E-09
Sept212015,11,evo,1A,xanc_f,-3,215,1.91E+05,-3,102,1.02E+05,-0.63,-0.56,-0.0334,0.0334,3.87441E-10
Sept212015,12,evo,1A,xanc_f,-3,196,1.74E+05,-3,145,1.45E+05,-0.18,-0.16,0.3938,-0.3938,-4.57409E-09
Sept212015,1,cam,A12,A12,-3,219,1.95E+05,-3,103,1.03E+05,-0.64,-0.57,,,
Sept212015,2,cam,A12,A12,-3,220,1.96E+05,-3,133,1.33E+05,-0.39,-0.35,,,
Sept212015,1,cam,A7,A7,-3,456,4.05E+05,-3,296,2.96E+05,-0.31,-0.28,,,
Sept212015,2,cam,A7,A7,-3,423,3.76E+05,-3,324,3.24E+05,-0.15,-0.13
Sept212015,1,cam,B2,B2,-3,273,2.43E+05,-3,131,1.31E+05,-0.62,-0.55
Sept212015,2,cam,B2,B2,-3,230,2.04E+05,-3,119,1.19E+05,-0.54,-0.48
Sept212015,1,cam,D9,D9,-3,195,1.73E+05,-3,85,8.50E+04,-0.71,-0.64
Sept212015,2,cam,D9,D9,-3,197,1.75E+05,-3,88,8.80E+04,-0.69,-0.62
Sept212015,1,cam,E4,E4,-3,275,2.44E+05,-3,182,1.82E+05,-0.29,-0.26
Sept212015,2,cam,E4,E4,-3,265,2.36E+05,-3,153,1.53E+05,-0.43,-0.39
Sept212015,1,cam,G9,G9,-3,188,1.67E+05,-3,125,1.25E+05,-0.29,-0.26
Sept212015,2,cam,G9,G9,-3,209,1.86E+05,-3,88,8.80E+04,-0.75,-0.67
Sept212015,1,cam,1A,xanc,-3,207,1.84E+05,-3,113,1.13E+05,-0.49,-0.44
Sept212015,2,cam,1A,xanc,-3,208,1.85E+05,-3,116,1.16E+05,-0.47,-0.42
Sept212015,3,cam,1A,xanc,-3,190,1.69E+05,-3,152,1.52E+05,-0.11,-0.09
Sept212015,4,cam,1A,xanc,-3,211,1.88E+05,-3,169,1.69E+05,-0.10,-0.09
Sept212015,5,cam,1A,xanc,-3,229,2.04E+05,-3,147,1.47E+05,-0.33,-0.29
Sept212015,6,cam,1A,xanc,-3,235,2.09E+05,-3,134,1.34E+05,-0.44,-0.40
Sept212015,7,cam,1A,xanc,-3,239,2.12E+05,-3,156,1.56E+05,-0.31,-0.28
Sept212015,8,cam,1A,xanc,-3,257,2.28E+05,-3,162,1.62E+05,-0.34,-0.31
Sept212015,9,cam,1A,xanc,-3,266,2.36E+05,-3,133,1.33E+05,-0.58,-0.52
Sept212015,10,cam,1A,xanc,-3,226,2.01E+05,-3,137,1.37E+05,-0.38,-0.34
Sept212015,11,cam,1A,xanc,-3,264,2.35E+05,-3,130,1.30E+05,-0.59,-0.53
Sept212015,12,cam,1A,xanc,-3,256,2.28E+05,-3,122,1.22E+05,-0.62,-0.56
Sept212015,1,mM9,1A,xanc,-3,199,1.77E+05,-3,147,1.47E+05,-0.19,-0.17
Sept212015,2,mM9,1A,xanc,-3,203,1.80E+05,-3,105,1.05E+05,-0.54,-0.48
Sept212015,3,mM9,1A,xanc,-3,209,1.86E+05,-3,98,9.80E+04,-0.64,-0.57
Sept212015,4,mM9,1A,xanc,-3,200,1.78E+05,-3,106,1.06E+05,-0.52,-0.46
